n,x1,x2,x3,x4,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35
424,1,1,1,1,0.01767673827985951,0.3970083226508149,5.954984545066528,456.084426102286,17.127529993509,-7781.435713459249,-709.0645346598571,2003.244882351646,25.69862461790674,2725.005220595518,13711.57121842227,-5463.499917938505,2008.220042718762,10409.83496859076,58.22427180060141,149.6546867155323,-55.26708247148586,-3.074813040542739,43.07901894680671,-55.64564674081079,11.96688133949587,70.19917023777407,-145.1940444524519,-49.40698207503539,42.15846809054568,0.1794591388010071,111.0243969838077,179325.1109602863,21214715.01455105,54938.01271717373,3944381.955761198,2.345673231857083,1848.408541039177,1.118201770178198,5.019001060120311
425,2,0,0,0,0.009917061086721973,0.3556783783713074,4.687489267923768,472.9658942900234,14.36834051715903,-6471.167027002065,-442.4219692911452,3747.707078281052,5.236371284473448,1850.97157981863,10575.62204444396,-4112.493476376894,1406.481472951497,7228.924037929149,48.78604639724193,130.6619304608915,-32.3258198805842,-1.736743162542946,25.26398013283283,-52.32650555976245,12.60486795698104,90.18716779723022,-103.3739859314328,-39.58435360810634,41.09606586290112,0.075964032335465,99.56454801055662,194526.8117120074,14287847.86145409,49838.62807683735,3566387.786493841,1.428373788717877,2483.890339766979,1.291031413826367,5.651820619269937
426,0,-2,0,0,0.01037454001364329,0.2530618628761098,1.915822629338945,383.596299590478,12.45171247416603,-3395.758161165664,267.1429672523872,1849.500177632906,1.99770652511561,994.646095104859,4667.6263740693,-2714.258181213339,1264.090395406622,3977.078386463912,36.57665603749554,87.42736754843718,-33.38719889966536,-1.079456755368662,19.7259213953407,-28.30948101562887,9.576641795432252,70.11912354706156,-72.82482941140769,-28.98023597919211,70.74770541095644,0.1179516976989014,59.20121430866068,63477.15242005848,12039018.28968203,34539.33625617935,3227774.19089968,1.245011288527497,2581.633640146883,1.496360225606947,5.376011375891808
427,0,2,0,0,0.01998175678541779,0.1782420852004475,2.421028439403378,278.4865835361184,14.85716118836994,-3514.250057381307,-593.7787749103196,1608.095019546296,5.136496482217023,1892.218414519627,8941.820145387872,-2668.650272188882,1294.414442960711,7650.189668788491,46.02492982360701,120.786807319563,-27.48344575207349,-1.701505531527769,21.02423911135823,-28.62981191383473,4.860034489710304,64.35442800130622,-114.0358096355051,-40.63208174310706,51.33660275003894,0.2170009667790471,28.68215000908744,194454.3899344354,26466729.18445377,50492.37623407754,4126247.168927839,5.368778309846572,2706.902470340584,1.302045412441372,6.817677829013815
428,0,0,-2,0,0.01021639958912097,0.2276196337928864,2.208184237985188,347.0021341197652,12.0790695746433,-3570.395147220645,-40.53430058802219,1555.179390892026,2.229811536669798,1179.023858831228,4331.503882475527,-2117.485346472329,884.244799913608,4873.85335804509,39.08551740495753,83.85662921387862,-16.40194327327424,-1.435920985537533,12.85927951607541,-43.52402864792717,7.871477522921282,71.17782456982816,-75.3885406506188,-29.24600303113298,43.36984662751648,0.06572262047351053,47.52517188715402,105361.6811116581,7985712.240421619,38865.54047035043,2728292.435549852,1.120442010541554,3348.093218820633,1.64684742776358,7.955869889265394
429,0,0,2,0,0.01235696860186899,0.2386024032730051,2.473262273957258,375.2677879561631,12.67128153424452,-4427.178757365301,-29.37354495955637,1616.715903553594,7.567385891237442,1245.077825302577,6908.291169888552,-1979.072122207529,1191.461718426471,6663.544726011108,39.46560417660555,99.12454396836706,-17.97631681795953,-1.417525835596144,26.66419751050113,-42.83411642966799,7.535515652429352,60.67643377893457,-91.52038700195382,-32.42805443408295,35.85654571467339,0.2401238017485181,56.59924328435871,79497.53451772351,5948598.350107282,39978.82660381796,2774840.08998246,2.576727273154789,2780.24390264154,1.677986297453945,8.599325112862841
430,0,0,0,-2,0.005842966793539346,0.2124622950928339,2.1919590554976,337.3515240267668,9.512511598786237,-3614.166173396916,34.69370895158527,1962.624675457338,5.319968176702669,1263.68122030136,6651.6026992483,-1700.315656915272,1297.511347394424,6389.70196130685,39.91738432691005,103.5938466745682,-11.64929909738107,1.142010033545726,17.64331083189877,-60.49699952257529,7.704149573313043,66.46627309428727,-81.72773918205098,-33.59172736516947,44.10915450961359,0.1965430191340535,43.64965589072318,116439.7886505839,8675196.57796785,45073.18691765894,3291274.160641612,1.37346554142623,3061.168218709199,1.506635509112083,5.314062603812995
431,0,0,0,2,0.01510668042005939,0.2688511234801079,3.017522375101015,379.4437580503153,14.43508333389359,-4895.851250122048,-267.5833518242624,2174.18514295686,10.56350541522436,1719.065267029391,8451.607771933059,-2799.872921713265,1449.937472868289,6632.998801244924,47.51709788480756,117.5756626526529,-30.66584730912676,-1.083258168124831,25.57961209441279,-44.94792485881069,11.26804691451774,74.30276426126187,-91.12053331092083,-38.32085516891583,48.13014813770251,0.3801508237497648,85.06881689105587,105370.1968068155,8997774.89622357,42485.36401345993,3069805.604525564,2.968343679158428,2858.777444933344,1.215172372078329,4.492928789798669
432,0,0,0,0,0.01055789509730979,0.2719657157976698,3.406131872649046,383.666547441365,12.10153832908808,-6483.054696465982,-62.97780413088105,2897.063295828661,5.35187751680571,1599.424420144482,9516.624673189639,-3562.185142529265,1535.516678489086,7551.715399024869,44.81750314365591,124.1750403192182,-22.32589900889139,-0.7459448314466597,17.60017541305303,-71.82168797395924,8.92896145071904,84.33500146067846,-94.6804614934246,-36.9680888827912,56.88058559804082,0.1631392578537,68.45445479804606,114921.9000842332,9168017.237781554,42883.94824145407,3233570.611906569,1.739370240734795,2837.47485659974,1.304910499667768,5.771997479880438
433,-1,-1,-1,-1,0.007682407451274471,0.2138705280569657,1.504895046764253,359.0922590097655,9.707160531387926,-2660.262720741344,36.61253172915449,1698.404704782724,4.423904194424815,930.0645876864103,4708.272885370357,-1807.534263957515,964.4152976756867,3675.224871833098,34.9826743094519,80.26353462204612,-16.68388430748953,0.3017919519653939,22.60473974413904,-44.35165533299617,6.378446378807923,61.84705138145662,-76.54080872278699,-28.56053753590403,45.55154633887876,0.2886101201072552,47.99546060008812,74219.58573919669,6520469.986685855,32387.40606383102,3029516.10724237,2.21985451906363,3561.237018680276,1.782887664425099,6.875590627195842
